nation                                       orders
ALGERIA                                       1730
ARGENTINA                                     1684
BRAZIL                                        1198
CANADA                                        1669
CHINA                                         3699
EGYPT                                         3196
ETHIOPIA                                      1643
FRANCE                                        1211
GERMANY                                       2710
INDIA                                         2792
INDONESIA                                     2716
IRAN                                          1133
IRAQ                                          1165
JAPAN                                         2249
JORDAN                                         581
KENYA                                         3177
MOROCCO                                       1178
MOZAMBIQUE                                    3613
PERU                                          2222
ROMANIA                                       2661
RUSSIA                                        2719
SAUDI ARABIA                                   605
UNITED KINGDOM                                1716
UNITED STATES                                 4141
VIETNAM                                       3271
